Generation,Best_Score,Avg_Theta,Avg_Time,Perfect_Trials
1,0.9940203,0.0119595025,100.0,10
2,0.99396056,0.012078868,100.0,10
3,0.99423325,0.011533482,100.0,10
4,0.99426496,0.011470126,100.0,10
5,0.99424714,0.011505469,100.0,10
6,0.9942318,0.011536522,100.0,10
7,0.9938037,0.012392709,100.0,10
8,0.99244595,0.015108064,100.0,10
9,0.9940715,0.011857088,100.0,10
10,0.9941715,0.011656903,100.0,10
11,0.99408376,0.011832186,100.0,10
12,0.9946128,0.010774632,100.0,10
13,0.99415743,0.011685023,100.0,10
14,0.9941865,0.011627127,100.0,10
15,0.9943937,0.011212479,100.0,10
16,0.9942516,0.011496873,100.0,10
17,0.99412334,0.0117534585,100.0,10
18,0.9941863,0.011627259,100.0,10
19,0.9937522,0.01249559,100.0,10
20,0.9933262,0.013347687,100.0,10
21,0.99314356,0.01371297,100.0,10
22,0.9942438,0.011512367,100.0,10
23,0.9941716,0.011656709,100.0,10
24,0.9940076,0.011984874,100.0,10
25,0.9941915,0.011616815,100.0,10
26,0.9931162,0.013767725,100.0,10
27,0.9931587,0.013682513,100.0,10
28,0.99336845,0.013263293,100.0,10
29,0.99421847,0.011563121,100.0,10
30,0.9941193,0.011761458,100.0,10
31,0.99416304,0.011673977,100.0,10
32,0.99410355,0.011793058,100.0,10
33,0.99398977,0.01202064,100.0,10
34,0.9942697,0.011460518,100.0,10
35,0.9938013,0.012397399,100.0,10
36,0.9942228,0.011554288,100.0,10
37,0.99423254,0.011534671,100.0,10
38,0.9917577,0.016484635,100.0,10
39,0.9928423,0.014315553,100.0,10
40,0.99339885,0.013202295,100.0,10
41,0.993357,0.013286093,100.0,10
42,0.9935454,0.012909164,100.0,10
43,0.98570615,0.028587753,100.0,10
44,0.9923833,0.015233587,100.0,10
45,0.9943472,0.011305561,100.0,10
46,0.9939805,0.012038852,100.0,10
47,0.99408275,0.011834467,100.0,10
48,0.99423856,0.011522641,100.0,10
49,0.994197,0.011606065,100.0,10
50,0.99330485,0.013390226,100.0,10
51,0.99420977,0.011580272,100.0,10
52,0.99379766,0.012404675,100.0,10
53,0.9903202,0.019359633,100.0,10
54,0.9939006,0.012198927,100.0,10
55,0.9938735,0.01225321,100.0,10
56,0.9938885,0.012223002,100.0,10
57,0.9942304,0.011539232,100.0,10
58,0.9942554,0.011489092,100.0,10
59,0.99415934,0.011681324,100.0,10
60,0.99426234,0.011475502,100.0,10
61,0.9933976,0.013204698,100.0,10
62,0.99373454,0.012530841,100.0,10
63,0.99289656,0.014206906,100.0,10
64,0.99421155,0.0115769105,100.0,10
65,0.9942239,0.011552276,100.0,10
66,0.9936163,0.012767283,100.0,10
67,0.9910592,0.017881721,100.0,10
68,0.994517,0.010966061,100.0,10
69,0.9924917,0.015016608,100.0,10
70,0.9870868,0.025826624,100.0,10
71,0.9942471,0.011505972,100.0,10
72,0.99338466,0.013230848,100.0,10
73,0.994037,0.0119261835,100.0,10
74,0.9942099,0.011580345,100.0,10
75,0.99425,0.011499929,100.0,10
76,0.9916673,0.016665539,100.0,10
77,0.9941597,0.011680571,100.0,10
78,0.99398124,0.012037476,100.0,10
79,0.9942566,0.011486999,100.0,10
80,0.99414855,0.011703117,100.0,10
