Generation,Best_Reward,Avg_Time_s,Perfect_Trials
1,92.76062,2.026,0
2,4945.015,100.0,10
3,4945.8926,100.0,10
4,4945.812,100.0,10
5,4945.6514,100.0,10
6,4946.1777,100.0,10
7,4945.657,100.0,10
8,4945.477,100.0,10
9,4945.67,100.0,10
10,4945.5107,100.0,10
11,4945.6587,100.0,10
12,4945.598,100.0,10
13,4945.8047,100.0,10
14,4945.5225,100.0,10
15,4945.7,100.0,10
16,4945.452,100.0,10
17,4945.323,100.0,10
18,4945.6787,100.0,10
19,4945.6426,100.0,10
20,4945.8516,100.0,10
21,4945.5786,100.0,10
22,4945.6787,100.0,10
23,4945.573,100.0,10
24,4945.79,100.0,10
25,4945.714,100.0,10
26,4945.8105,100.0,10
27,4945.747,100.0,10
28,4945.581,100.0,10
29,4945.5674,100.0,10
30,4945.3574,100.0,10
31,4946.091,100.0,10
32,4945.5674,100.0,10
33,4945.382,100.0,10
34,4945.663,100.0,10
35,4945.882,100.0,10
36,4945.6494,100.0,10
37,4945.5713,100.0,10
38,4945.44,100.0,10
39,4945.573,100.0,10
40,4945.8354,100.0,10
41,4945.516,100.0,10
42,4945.8857,100.0,10
43,4945.786,100.0,10
44,4945.751,100.0,10
45,4945.9414,100.0,10
46,4946.0977,100.0,10
47,4945.654,100.0,10
48,4945.63,100.0,10
49,4945.745,100.0,10
50,4945.9717,100.0,10
51,4945.8667,100.0,10
52,4945.6577,100.0,10
53,4945.8,100.0,10
54,4945.6973,100.0,10
55,4945.6567,100.0,10
56,4945.705,100.0,10
57,4945.5596,100.0,10
58,4945.734,100.0,10
59,4945.7627,100.0,10
60,4945.7695,100.0,10
61,4945.87,100.0,10
62,4945.643,100.0,10
63,4945.701,100.0,10
64,4945.706,100.0,10
65,4945.8213,100.0,10
66,4945.491,100.0,10
