Kp_theta,Ki_theta,Kd_theta,Kp_pos,Ki_pos,Kd_pos,Avg_Time_s,Perfect_Trials
123.92913438680296,326.45072744836733,6.975074490950501,0.0534366688084706,0.0354742637904643,0.002721072547032,100.0,10
1906.686018920764,1031.1719564842651,6.971600524577633,0.0199020374061105,0.0118751292692382,0.0013155292265586,0.654,0
776.268944484742,1409.5779453101409,7.211868390629372,0.0108131872232984,0.0195219095317769,0.0004980088530963,0.64,0
1343.5397121745482,892.5760522431985,3.99993658635373,0.0285407254056183,0.0320879255082501,0.0017901704096347,0.682,0
1119.0314678515924,235.5858746631196,6.75565318749379,0.0895209843904255,0.095173387169339,0.0013309874822782,0.752,0
1317.3516545328378,740.2223223489084,3.6572935460397415,0.0111765672752267,0.069169724287248,0.0077332251030629,0.61,0
650.3464423190837,1218.9309833256032,6.934404767162842,0.0157437066333823,0.0230420714488109,0.0064505013787559,0.618,0
1587.6311414838974,402.2692630874756,7.60391330138761,0.0254030964885085,0.0640380122549977,0.0047157231511944,0.738,0
1193.7663021882418,720.5017517014726,8.00736751741812,0.0349847996511556,0.0007301171998252,0.0021693525875515,0.718,0
636.1014024307123,400.9505425881839,4.527139134551214,0.0458657269105667,0.0965009596401267,0.0049311596819933,0.812,0
318.4971529745533,1165.8284564199846,5.0067934875988,0.0324159665619349,0.0155847053024424,0.0028938464751428,0.63,0
1801.096743413923,394.3354415657877,5.012576094224915,0.0358375578610965,0.0595928167295714,0.0036548351964024,0.7020000000000001,0
777.7777649425328,1469.9643938100653,9.421259717808042,0.0295233180120688,0.0383055450366701,0.0052509639286458,0.738,0
671.114361232387,267.8895289050922,5.957315883962516,0.0514997037033918,0.0959061202086144,0.0052575126451588,0.784,0
1918.5506745415123,1606.853647375891,3.136243876476584,0.097322368201652,0.0977453528359361,0.001402431704003,0.624,0
1649.1737222520865,108.85459876737008,5.52194746273692,0.0940816157042178,0.0875417744080462,0.0089911574237815,0.752,0
1993.903676490556,1161.866330169685,4.835806070017593,0.0473604975556036,0.0182326167149184,0.0026902026310339,0.624,0
283.9199523896766,667.5226410073003,4.9154566871436565,0.0675960755666125,0.0012459940819769,0.0036696258991386,0.778,0
1281.343448298373,1488.3201203043284,8.534350862120426,0.077483079200998,0.0330236020442922,0.0067320909239152,0.688,0
455.6131748231265,656.8259381122696,9.837837298979936,0.0757800235656741,0.0275291144281581,0.0053540677489076,1.026,0
680.8112992771744,1294.3555626541408,3.324450988775297,0.0281537086646603,0.0883648861031818,0.0098583363900945,0.528,0
1678.3800087351424,1443.0829516923204,8.753239393538305,0.0529878631784887,0.0318895597773024,0.0093921780750211,0.652,0
223.83168450853148,161.0085421651327,9.152311004291196,0.0015245126924373,0.0851633069463609,0.0072374524484622,100.0,10
1444.248979953157,213.0780889615276,6.949719738669336,0.0813044270226412,0.044884971669763,0.0015404260654677,0.73,0
628.5909417317906,1320.8577561738866,2.140783671360049,0.0777503931478479,0.0232651872075166,0.0007527510701998,0.58,0
1146.1082679351125,922.8717427989162,5.206307623369619,0.0350894951771314,0.0490622824988435,0.006183919765617,0.638,0
1049.2024376660825,1509.8073825574809,8.2073389564502,0.0184660636594495,0.0710711993788782,0.0069578069093313,0.63,0
754.5731138201199,786.5301792876226,5.162858608101173,0.0976165698791568,0.0606061127493274,0.0036634125979988,0.684,0
814.8484087070741,809.62313071926,6.222794977296887,0.0223527003958368,0.0258011065510619,0.003816831913977,0.684,0
