Kp_theta,Ki_theta,Kd_theta,Kp_pos,Ki_pos,Kd_pos,Avg_Reward,Avg_Steps,Avg_Time_s,Perfect_Trials
100.0,100.0,9.256168082447704,0.1,0.01007437313705687,0.004872708000842885,4945.1323,5000.0,100.0,10
100.0,100.0,9.206857353980984,0.0026661990525783386,0.015947205531060972,0.008382631387759545,4945.3384,5000.0,100.0,10
100.0,100.0,9.206857353980984,0.1,0.010905554992596215,0.00951041254424003,4945.2974,5000.0,100.0,10
100.0,100.0,9.206857353980984,0.05218582768658697,0.005981409473493232,0.007970780647123716,4945.471,5000.0,100.0,10
100.0,100.0,9.433791272817597,0.1,0.04954323937590607,0.0001,4944.5786,5000.0,100.0,10
100.0,100.0,9.524772793556153,0.1,0.010905554992596215,0.007970780647123716,4944.9155,5000.0,100.0,10
100.0,100.0,9.433791272817597,0.1,0.005981409473493232,0.009136018515707937,4945.603,5000.0,100.0,10
100.0,100.0,9.206857353980984,0.06133857806015491,0.04491626130019361,0.0014143420922266923,4945.9414,5000.0,100.0,10
100.0,100.0,9.433791272817597,0.1,0.027478704923758895,0.0007702896133530562,4944.3916,5000.0,100.0,10
100.0,100.0,9.206857353980984,0.1,0.005981409473493232,0.0014143420922266923,4945.323,5000.0,100.0,10
100.0,100.0,10.0,0.09646981813215592,0.051357270498104055,0.006035241534813784,4944.2856,5000.0,100.0,10
100.0,100.0,9.359838542616666,0.1,0.0,0.0001,4549.288,4600.3,92.006,8
2000.0,100.0,9.485031923765646,0.1,0.0534370172268524,0.01,34.200203,37.4,0.748,0
1759.726005403979,100.0,10.0,0.1,0.1,0.0001,37.50836,41.0,0.8200000000000001,0
100.0,100.0,9.206857353980984,0.058057459575035615,0.04491626130019361,0.0014143420922266923,4944.5547,5000.0,100.0,10
100.0,100.0,9.433791272817597,0.1,0.01007437313705687,0.004877698527391051,4945.271,5000.0,100.0,10
100.0,100.0,10.0,0.001,0.05409950815144749,0.0001,4944.172,5000.0,100.0,10
100.0,100.0,4.0107683985911216,0.1,0.1,0.01,4886.7705,5000.0,100.0,10
100.0,100.0,9.206857353980984,0.1,0.0024605078602999222,0.0001,4944.921,5000.0,100.0,10
100.0,1447.5960195364441,9.206857353980984,0.0026661990525783386,0.0,0.0007702896133530562,2197.3728,2240.3,44.806000000000004,0
100.0,100.0,9.206857353980984,0.0768307953227739,0.005981409473493232,0.0014143420922266923,4945.184,5000.0,100.0,10
100.0,100.0,8.177196467603759,0.1,0.0,0.01,4245.4756,4295.5,85.91,7
