Kp_theta,Ki_theta,Kd_theta,Kp_pos,Ki_pos,Kd_pos,Avg_Reward,Avg_Steps,Avg_Time_s,Perfect_Trials
100.0,100.0,9.206857353980984,0.06133857806015491,0.04491626130019361,0.0014143420922266923,4945.382,5000.0,100.0,10
100.0,100.0,9.433791272817597,0.1,0.005981409473493232,0.009136018515707937,4945.1396,5000.0,100.0,10
100.0,100.0,9.433791272817597,0.1,0.04954323937590607,0.004877698527391051,4945.3047,5000.0,100.0,10
100.0,100.0,9.206857353980984,0.05218582768658697,0.005981409473493232,0.007970780647123716,4945.4087,5000.0,100.0,10
100.0,100.0,9.206857353980984,0.01874021594843462,0.005981409473493232,0.0074948493142628775,4602.8696,4653.7,93.074,9
100.0,100.0,9.206857353980984,0.1,0.010905554992596215,0.0012022407204901567,4945.41,5000.0,100.0,10
100.0,100.0,9.433791272817597,0.1,0.010905554992596215,0.0016624454471430195,4945.034,5000.0,100.0,10
100.0,100.0,9.206857353980984,0.1,0.01353386268498017,0.01,4945.2666,5000.0,100.0,10
100.0,100.0,9.206857353980984,0.0026661990525783386,0.015947205531060972,0.008382631387759545,4943.9106,5000.0,100.0,10
100.0,100.0,9.206857353980984,0.1,0.005981409473493232,0.0014143420922266923,4945.395,5000.0,100.0,10
100.0,100.0,3.878818030001727,0.1,0.09481166384004672,0.01,4876.297,5000.0,100.0,10
100.0,100.0,10.0,0.1,0.0706078909609242,0.009136018515707937,4944.8174,5000.0,100.0,10
818.4389049286505,100.0,4.61044109661223,0.05218582768658697,0.005981409473493232,0.007970780647123716,41.11463,45.0,0.9,0
100.0,100.0,10.0,0.1,0.005981409473493232,0.0001,4944.458,5000.0,100.0,10
100.0,100.0,9.433791272817597,0.1,0.0,0.0011822255799988687,4431.0366,4481.0,89.62,7
100.0,100.0,10.0,0.1,0.015947205531060972,0.0022547051244774787,4944.5244,5000.0,100.0,10
100.0,2000.0,10.0,0.08503086401207566,0.1,0.009136018515707937,120.452614,124.6,2.492,0
100.0,100.0,9.433791272817597,0.1,0.0,0.005898804062679412,4474.872,4525.3,90.506,8
100.0,100.0,10.0,0.05135204777715085,0.0,0.0032139589645067785,3891.3125,3935.6,78.712,6
100.0,100.0,10.0,0.09817511727258547,0.010905554992596215,0.01,4944.1323,5000.0,100.0,10
100.0,100.0,9.206857353980984,0.01427437284086501,0.04491626130019361,0.0037357783662811074,4945.135,5000.0,100.0,10
100.0,100.0,10.0,0.1,0.0,0.0014143420922266923,4036.898,4082.7,81.654,7
100.0,100.0,9.206857353980984,0.1,0.007952210264982062,0.007970780647123716,4945.1035,5000.0,100.0,10
100.0,100.0,10.0,0.012903771951595044,0.005981409473493232,0.0039663273283022694,4944.3257,5000.0,100.0,10
100.0,2000.0,9.433791272817597,0.1,0.01007437313705687,0.009136018515707937,69.8778,73.1,1.462,0
100.0,797.6845583155297,10.0,0.1,0.0,0.01,3967.5723,4017.1,80.342,6
100.0,1035.0188552244892,9.433791272817597,0.1,0.0,0.004877698527391051,3766.1948,3820.7,76.414,3
