Generation,Best_Reward,Avg_Time_s,Perfect_Trials
1,4913.527,100.0,10
2,4945.093,100.0,10
3,4945.0713,100.0,10
4,4945.3535,100.0,10
5,4945.394,100.0,10
6,4945.169,100.0,10
7,4945.0923,100.0,10
8,4945.3267,100.0,10
9,4945.905,100.0,10
10,4945.329,100.0,10
11,4945.899,100.0,10
12,4945.2686,100.0,10
13,4945.357,100.0,10
14,4945.2534,100.0,10
15,4945.673,100.0,10
16,4945.6885,100.0,10
17,4945.31,100.0,10
18,4945.8667,100.0,10
19,4945.888,100.0,10
20,4946.2075,100.0,10
21,4945.7036,100.0,10
22,4945.6904,100.0,10
23,4945.607,100.0,10
24,4945.3438,100.0,10
25,4945.2627,100.0,10
26,4946.044,100.0,10
27,4945.582,100.0,10
28,4945.8574,100.0,10
29,4945.629,100.0,10
30,4945.323,100.0,10
31,4945.325,100.0,10
32,4945.6475,100.0,10
33,4945.7,100.0,10
34,4945.636,100.0,10
35,4945.8506,100.0,10
36,4945.5283,100.0,10
37,4945.749,100.0,10
38,4945.5146,100.0,10
39,4945.617,100.0,10
40,4945.323,100.0,10
41,4945.3896,100.0,10
42,4945.5444,100.0,10
43,4945.271,100.0,10
44,4945.6733,100.0,10
45,4945.1343,100.0,10
46,4945.226,100.0,10
47,4945.845,100.0,10
48,4945.5713,100.0,10
49,4945.366,100.0,10
50,4945.315,100.0,10
51,4945.6787,100.0,10
52,4945.0693,100.0,10
53,4945.325,100.0,10
54,4945.7524,100.0,10
55,4945.282,100.0,10
56,4945.692,100.0,10
57,4945.5107,100.0,10
58,4945.068,100.0,10
59,4945.4746,100.0,10
60,4945.494,100.0,10
61,4945.7163,100.0,10
62,4945.2085,100.0,10
63,4945.3623,100.0,10
64,4945.6016,100.0,10
65,4945.5454,100.0,10
66,4945.582,100.0,10
67,4945.906,100.0,10
68,4945.3584,100.0,10
69,4945.767,100.0,10
70,4945.415,100.0,10
71,4945.404,100.0,10
72,4945.376,100.0,10
73,4945.8745,100.0,10
74,4945.653,100.0,10
75,4945.8994,100.0,10
76,4945.481,100.0,10
77,4945.37,100.0,10
78,4945.548,100.0,10
79,4945.3096,100.0,10
80,4945.578,100.0,10
