Generation,Best_Score,Avg_Theta,Avg_Time,Perfect_Trials
139,0.9944361,0.011127785,100.0,10
140,0.9945197,0.010960577,100.0,10
141,0.9944456,0.01110876,100.0,10
142,0.9946799,0.010640043,100.0,10
143,0.99444216,0.011115783,100.0,10
144,0.99444216,0.011115573,100.0,10
145,0.9945215,0.010957012,100.0,10
146,0.9944459,0.011108264,100.0,10
147,0.99460393,0.010792302,100.0,10
148,0.99462813,0.010743802,100.0,10
149,0.99450684,0.01098627,100.0,10
150,0.99464446,0.010711039,100.0,10
