Kp_theta,Ki_theta,Kd_theta,Kp_pos,Ki_pos,Kd_pos,Avg_Reward,Avg_Steps,Avg_Time_s,Perfect_Trials
1725.9549525064103,1237.548467284742,3.926950349938739,0.0307246242894134,0.0854840772244941,0.0043230520460256,26.886383,29.1,0.5820000000000001,0
359.6747568335497,1575.2401189049274,4.660669758319514,0.0161487006620711,0.0863829674821287,0.0045119939733874,27.120123,29.2,0.584,0
1837.802553651779,1043.282256997601,2.8370927374062367,0.0977230436726998,0.0419182858961519,0.0015390513022473,29.293827,32.0,0.64,0
820.7084184956476,332.47872527706915,7.942416293663355,0.0581115743752927,0.0191975094990762,0.0047092054016403,35.936527,39.1,0.782,0
1881.691167126907,1501.5241704936752,6.320120847318615,0.0432005542310771,0.0559187998666958,0.003754296246268,28.506351,31.0,0.62,0
1107.3949300147738,1365.4706538083312,6.463755674667301,0.0991098720993738,0.0042557820984911,0.0024035325204558,30.347652,33.0,0.66,0
1482.690167612383,1569.0761999570666,6.100217759547198,0.0026451477133438,0.0324921061544075,0.0017399299624522,28.019846,30.5,0.61,0
1102.7879051252612,1658.4199895970985,8.38162741509547,0.0034951639542125,0.0488812161763934,0.0015215897055404,28.428402,30.8,0.616,0
1364.2838723283933,1488.5721959857492,3.6274531100629552,0.0868289005169437,0.0525815753654853,0.0032835653925638,27.923737,30.3,0.606,0
1226.0250550282874,717.764248413788,8.971169059052485,0.0514486014794543,0.0155990807279385,0.0010999958098692,33.079277,35.9,0.718,0
308.55573194328286,1554.2281492931636,2.895712716819005,0.0350493955505937,0.0526119333320585,0.0034190396650047,22.201504,24.0,0.48,0
1004.704851450196,370.67574676188303,5.851168164814386,0.0538706259736473,0.0739587096630271,0.0005764312105517,35.31794,38.3,0.766,0
510.0289689761135,375.8980807116228,4.255316670390804,0.0705620775172655,0.0185018671840932,0.0024369568081875,40.241375,43.8,0.876,0
822.8421403093969,507.1074551495218,6.222381662477544,0.0046187614975654,0.0580628378192512,0.0021387843152287,32.82661,35.7,0.7140000000000001,0
1854.869513392138,1283.2315255172557,3.5660252790536413,0.0817221624040731,0.0774178978342755,0.00219759572457,29.060083,31.7,0.634,0
1105.877230676095,597.5153402307396,8.682514802661345,0.0402076345632343,0.0455889399246311,0.003590506892777,37.11604,40.1,0.802,0
1991.6693327644768,1029.9216823909428,2.67702647209106,0.0328516611579965,0.0240156614939258,0.0039017909611617,28.774303,31.3,0.626,0
949.3152544785904,1157.3304770819957,8.268789182016612,0.0760093019915827,0.0376814216240733,0.0032157483596241,34.42298,37.3,0.746,0
828.9759993178553,476.0340095869255,3.9292390785772033,0.0655229485305814,0.0325804701161315,0.0005957819265736,30.872208,33.7,0.674,0
1618.052598791999,1493.585176164146,3.1232452800897663,0.0088846249526096,0.0294354510725679,0.0037678623839786,24.232546,26.2,0.524,0
1250.6868810794522,679.8661893443204,4.536651883709694,0.0887692449098404,0.0029455260422906,0.0016744182414673,30.147446,32.8,0.6559999999999999,0
1854.6812970274032,904.3630265453768,3.809570439225726,0.0026029245321621,0.0898298114679074,0.0047363099880234,29.182281,31.7,0.634,0
1321.14283962353,849.6141426050914,3.1615330471663867,0.0365944015097779,0.0716165320254641,0.0039567465995289,30.03807,32.8,0.6559999999999999,0
509.77753292892,631.5483150429689,2.471744434029792,0.0930551774175011,0.0363693971323483,0.002781386005232,27.227154,29.6,0.5920000000000001,0
819.6241786050489,737.2277079336762,2.069972663550496,0.0745171443289577,0.0175927096087092,0.0030457904934343,30.196629,32.8,0.6559999999999999,0
878.5754142743566,1489.6649817361274,5.361747386791762,0.0569372982408048,0.0785349746838908,0.0022614499715588,26.715576,29.0,0.58,0
468.251128729624,869.1053795614808,6.285011734071827,0.0455257070820141,0.0199200140330009,0.000474607926976,33.633064,36.4,0.728,0
360.0599481078278,498.3987954773303,8.059114816248329,0.0934670126689066,0.0149988011445209,0.0033901461551655,67.23074,72.3,1.446,0
1254.8251737498929,791.5736365882301,7.379467932412457,0.0708748736242625,0.015237674829387,0.0047307401451126,33.430637,36.2,0.7240000000000001,0
1523.5853953018482,442.1970176340657,5.690120296138722,0.0375868205501428,0.0540553404638501,0.0022909294801196,31.017588,33.9,0.6779999999999999,0
649.661173422526,1497.0831709233498,2.908614580792581,0.0622796462014433,0.0600663757688521,0.0038085122616405,26.839428,29.2,0.584,0
330.87699287757613,1320.11760467867,3.733182766004424,0.0191514178602267,0.0236521764539493,0.0001638617738036,25.756897,27.8,0.556,0
1313.938750298129,1319.914194392475,3.285275047568881,0.0327248942076508,0.0702041004592155,0.0019161573201636,24.030773,26.1,0.522,0
1155.2141682766446,962.119602882177,2.340386499112917,0.0787665142980273,0.0628843103880908,0.0018198575612122,26.75159,29.0,0.58,0
1301.8875687782677,1499.6541118487391,3.9490050179511407,0.0959214042588247,0.0299966657645145,0.0027800084928997,25.18461,27.3,0.546,0
752.6908136362555,1502.1909139046434,8.722118707533472,0.0248311202513896,0.0828028487104747,0.0018251873809457,29.760159,32.4,0.648,0
1827.116663506507,797.1066667343553,4.235490402468076,0.0586703505502529,0.0541538694318311,0.0025434648123516,26.717747,29.0,0.58,0
838.4457362378386,1163.549652990312,7.986636731592211,0.0441656720088098,0.0457968878628836,0.001762213871007,33.162083,36.2,0.7240000000000001,0
533.1554573335594,1118.0739324001163,6.021415292990717,0.053072894568578,0.0804872969347807,0.0040778831753114,32.660423,35.1,0.7020000000000001,0
1083.5598302062165,1275.106734119374,4.285634509236738,0.0970088504876797,0.064820137315335,0.0021889796921681,26.663656,28.9,0.578,0
