Kp_theta,Ki_theta,Kd_theta,Kp_pos,Ki_pos,Kd_pos,Score,Avg_Theta,Avg_Time_s,Perfect_Trials
373.63245932079263,1181.4049298479904,2.0,0.0593262188867234,0.04038163250393542,0.01,0.465875,0.073630005,0.538,0
100.0,476.8342714638403,2.0,0.08742307987996284,0.05319143654858673,0.002983397894088098,0.46664816,0.0727437,0.604,0
100.0,100.0,6.272031449591843,0.028492394527128928,0.07129485338537683,0.0017284528829002916,0.99273527,0.01452964,100.0,10
911.1069032857675,568.0140612003055,3.6688833307911857,0.02596381855022015,0.0,0.008468270480484921,0.46428028,0.077879444,0.644,0
100.0,372.50842025228184,4.010118916273534,0.0866606870608831,0.01855413800278015,0.007677561607863804,0.48066837,0.06438331,2.572,0
2000.0,1700.0,2.0,0.05305961279524478,0.06678205383048182,0.005657754718278616,0.46351466,0.07879061,0.5820000000000001,0
1699.812578621992,553.7470976060256,7.309150495988176,0.1,0.038691853618362804,0.005982053452916818,0.46219635,0.08266728,0.7060000000000001,0
100.0,1020.6580145928885,10.0,0.03740652883575616,0.1,0.0012674333020148152,0.993235,0.01352985,100.0,10
100.0,1294.8194867829268,2.0,0.1,0.09781550361196083,0.0001,0.4687949,0.06687025,0.446,0
1076.1742422486961,1700.0,2.0,0.1,0.0,0.007465313706382328,0.46586975,0.07346039,0.52,0
517.503242747538,100.0,5.404772889427015,0.03742955524896768,0.056792467726447554,0.009144177619257203,0.46556193,0.07703614,0.8160000000000001,0
1843.339029856063,231.45909329562784,3.582292792683702,0.09993035917524548,0.0,0.0023128878470156404,0.46343678,0.079926446,0.6799999999999999,0
100.0,623.2617578973513,3.9286166325405505,0.001,0.04682590984670744,0.001152448174074439,0.47292218,0.0647556,1.06,0
1342.2090499088038,646.2983453252034,5.217376266881904,0.001,0.07337096598735734,0.0001,0.4619643,0.08291128,0.6839999999999999,0
351.52178784304164,100.0,10.0,0.0940296840579554,0.0715674215800051,0.01,0.88547325,0.05319358,82.414,5
1053.738314926257,1647.3846513560259,4.957909034467195,0.0417550078468037,0.0346268295724753,0.002297051174505931,0.46546897,0.07450202,0.544,0
2000.0,1281.6075274114398,6.704374427411681,0.010977777684747649,0.1,0.0001,0.46447745,0.077305116,0.626,0
