Kp_theta,Ki_theta,Kd_theta,Kp_pos,Ki_pos,Kd_pos,Score,Avg_Theta,Avg_Time_s,Perfect_Trials
449.1337050408611,1034.2096206138294,9.764305524894136,0.0074549231866645,0.0078227683977977,0.0009837075672377,0.46707687,0.074706316,0.8859999999999999,0
549.3815491879136,538.1679232121169,5.236581788824198,0.0238224526382416,0.0749186064420933,0.0074525273031995,0.4632965,0.08124696,0.784,0
895.2183149415462,301.45782432973164,3.1441157447455046,0.0938529900353102,0.0974849935849157,0.0090256375056527,0.46461815,0.07718367,0.642,0
1413.3444091422446,365.0268751246383,7.227251340236826,0.0510303726395444,0.0074253287525298,0.0007727194514398,0.4614699,0.08486026,0.78,0
784.099576264336,1196.2850351652198,6.403041549388845,0.0813418479219019,0.0851049443214503,0.0086884330094969,0.46291995,0.08038004,0.622,0
979.0218809057463,838.6632736428554,6.826540175555849,0.045581395518057,0.0686981930793314,0.008625436419192,0.46775895,0.07140212,0.692,0
1307.4848227092075,270.680177653395,3.93044061758552,0.0039867108169972,0.0049774138375815,0.0068244902024869,0.46424684,0.0787462,0.724,0
1990.7409685359296,1181.0879175588998,2.2730073083618865,0.0450609270307353,0.0857557591154976,0.0004244180368484,0.46533042,0.075559214,0.622,0
1684.1383365172526,1517.4849111360732,9.532896954436126,0.0884615176398127,0.0066060913339302,0.0006440566683564,0.4643035,0.07811304,0.6719999999999999,0
1691.9665969361806,106.8272268259543,2.6067267161767704,0.0679125137427838,0.0064078728898148,0.0036369819138783,0.46295542,0.08104911,0.696,0
201.18175188692456,263.5522766604648,3.98631276675369,0.0427277049044736,0.0911499628358886,0.0093654122978156,0.46461353,0.08105297,1.028,0
651.3915193292086,112.01414734023297,9.945182142976932,0.0308188382849755,0.0173434750112621,0.0079930424621022,0.46545082,0.0841784,1.508,0
707.7471455560275,1669.9421520626704,8.653116820833437,0.0306840331433671,0.079942375330796,0.0001179552245088,0.46601015,0.073719755,0.5740000000000001,0
1264.4382010791896,1390.8275465979243,4.8000305394878495,0.0258193874422648,0.0123155691888616,0.0023227307594695,0.46399918,0.0789416,0.6940000000000001,0
1696.832535310686,683.1191986327833,8.749424139858146,0.0252693441298644,0.0644213114744049,0.0061494171157456,0.4623794,0.08236122,0.712,0
907.7372572228415,585.855127610522,9.98792234143292,0.0397887032968137,0.0522481939196725,0.0005491672446114,0.46561342,0.07791318,0.914,0
1176.4891134509542,613.9547375664773,2.578250835866148,0.0232651162859539,0.0143523137163608,0.0024619859678677,0.46494794,0.07592414,0.5820000000000001,0
556.8091448016493,558.4891322681532,7.930567870461651,0.0139116706933025,0.0160344696503838,0.0052954024420311,0.46634215,0.07647565,0.916,0
388.0494978128837,1220.1758084983908,3.630157530360629,0.0273414502218807,0.0497508082942995,0.0046322135858041,0.46438995,0.07714005,0.592,0
850.4036675629881,1204.061417823639,9.519647482130884,0.0908899561979921,0.0794679848210432,0.007500518217701,0.46299228,0.081875384,0.786,0
266.5114346525064,437.701654975467,8.510200717228678,0.0772911138972897,0.0846077065812481,0.0053724337583751,0.47939247,0.079855,3.864,0
407.4569556411026,1407.9127043332453,9.04602915048166,0.0209272152197931,0.0494157792239619,0.0091721969161297,0.46836108,0.07123777,0.796,0
1729.9032131017443,1058.7116840955675,8.121615922404857,0.0648462465153448,0.0348666862189032,0.0098697921321396,0.46307653,0.080926895,0.708,0
869.2121227391095,401.6495874883454,5.41338107140345,0.0926363671234044,0.0203551138169736,0.0011999686145197,0.46351975,0.08060044,0.764,0
820.2092536442223,1478.8827074099795,2.678356605999477,0.0894180401496874,0.0629163781910857,0.0012950504413524,0.46323243,0.0791951,0.5660000000000001,0
1477.4273778703853,250.30071860384237,4.793159562252943,0.0771038081289393,0.0179829100113583,0.0081152089334151,0.46165672,0.08400653,0.732,0
1812.3503590816224,255.77849586219563,8.580549264734195,0.059020337477621,0.076423542385775,0.0030052281686053,0.4628552,0.08174964,0.746,0
948.872202558601,795.2626187436887,5.953210833726839,0.072829878991688,0.0391131388289845,0.0085435949093978,0.46387514,0.07954965,0.73,0
888.0751656956596,1330.0488668931314,2.007289030208795,0.0443749747534739,0.0815930831803885,0.0041460065518451,0.46396932,0.077161275,0.51,0
987.6001109272322,360.84091112212496,5.618588276280259,0.0422296823214001,0.0713224691744444,0.0036083417322342,0.4622008,0.0835585,0.796,0
1134.3196350931937,1456.9937689664257,6.93056852784636,0.0156349922016005,0.0325997705768754,0.0082980258299281,0.46654996,0.07354005,0.664,0
149.05836878848436,1194.7806653511168,4.116207922914568,0.0993164564150157,0.0676986387927392,0.0037278190238779,0.47088394,0.06385209,0.562,0
566.6690393687567,577.0310343122517,8.761109374877297,0.0037962138247179,0.037229471302564,0.0063659253611498,0.4656759,0.078728296,1.008,0
1941.250718477027,1513.9196561246465,2.984571019973021,0.0412505983087609,0.0379038958574823,0.0015964696879356,0.46134463,0.08383082,0.652,0
1480.414939911126,415.58761064313575,4.142771062280428,0.0910936562463979,0.0262762863929309,0.0042044173661573,0.46441054,0.07861889,0.744,0
1367.254291567954,308.5288624200771,7.357179269664672,0.0607623473141361,0.0660933017020908,0.0030634029195883,0.46072665,0.08558668,0.704,0
1504.571407981508,609.8511076649703,6.054826589897431,0.0596614019645626,0.0706713725301883,0.0028747984600511,0.4615437,0.084072694,0.716,0
730.9205209267462,410.7945344599856,5.296384074235202,0.0081472777341263,0.0955385662592292,0.0018238144687381,0.4632307,0.08105855,0.752,0
