Kp_theta,Ki_theta,Kd_theta,Kp_pos,Ki_pos,Kd_pos,Avg_Reward,Avg_Steps,Avg_Time_s,Perfect_Trials
100.0,100.0,10.0,0.033614585831100656,0.012509472492402182,0.0001,4943.573,5000.0,100.0,10
100.0,100.0,10.0,0.1,0.06253886764420727,0.008907291231449227,4944.208,5000.0,100.0,10
100.0,100.0,10.0,0.07401746985871463,0.03723134954429074,0.0004975241936204036,4944.0195,5000.0,100.0,10
100.0,100.0,9.837185191595966,0.1,0.045667111110319965,0.01,4944.36,5000.0,100.0,10
100.0,100.0,10.0,0.03515345685814779,0.05103611124521074,0.0022157954042649605,4943.091,5000.0,100.0,10
100.0,100.0,10.0,0.08247607885779573,0.007177096614313781,0.01,4944.6157,5000.0,100.0,10
100.0,100.0,9.134878884820102,0.055968794330349944,0.011215721560918091,0.0013966661292900443,4944.8687,5000.0,100.0,10
100.0,100.0,8.906957309676011,0.1,0.0487412317638421,0.00459479039552398,4945.011,5000.0,100.0,10
100.0,100.0,10.0,0.001,0.01847990932305202,0.0001,4943.799,5000.0,100.0,10
100.0,150.3256161332137,10.0,0.07401746985871463,0.022523921031475533,0.0006163494394363972,4944.6367,5000.0,100.0,10
100.0,100.0,10.0,0.001,0.1,0.008058803948237592,4942.6396,5000.0,100.0,10
100.0,221.76101612659474,9.26870134724484,0.07971689536714481,0.07705470561230135,0.01,4942.367,5000.0,100.0,10
284.47667565680234,100.0,9.723839336886876,0.1,0.0,0.006909880062300153,4327.68,4460.1,89.20200000000001,8
552.5638705639172,100.0,10.0,0.001,0.05962407925952554,0.00789255010858432,112.63762,123.0,2.46,0
829.4060732050395,242.00994059380577,10.0,0.013619732378629401,0.0,0.007743378390038672,44.805122,48.7,0.9740000000000001,0
1313.3050076751383,500.0514973872538,10.0,0.04709183244946215,0.0,0.00797660286485275,35.63033,38.6,0.772,0
100.0,100.0,10.0,0.1,0.06299749018470054,0.001405242621038816,4944.8047,5000.0,100.0,10
765.041397951287,100.0,10.0,0.001,0.0702123521175234,0.003257911599974526,57.964314,63.2,1.264,0
327.57653376843814,100.0,6.6798432871316855,0.001,0.0,0.009837667916936762,113.454506,123.4,2.468,0
544.6344050890705,770.6494223707424,10.0,0.06430161368933227,0.062155843047368,0.01,46.581944,50.4,1.008,0
100.0,100.0,3.7083093359029498,0.1,0.06281094560338404,0.007483989901085729,4745.314,4881.7,97.634,9
100.0,100.0,8.906957309676011,0.1,0.0,0.0001,4618.798,4670.8,93.41600000000001,9
151.86560871201718,489.24894406575226,5.600614144372141,0.06093190729058817,0.1,0.006683025088230811,108.5105,116.2,2.3240000000000003,0
1272.267864423492,100.0,8.88286305994091,0.1,0.011215721560918091,0.005859745277511531,38.936012,42.4,0.848,0
405.4194552397579,100.0,10.0,0.014580264382439881,0.0599539168396722,0.006718379625025128,389.57397,423.8,8.476,0
1730.5571004294293,100.0,2.3055200234562037,0.055968794330349944,0.0,0.008585369809673917,31.647455,34.4,0.688,0
1057.4879089350327,172.77209060948363,2.0,0.1,0.060019425874845087,0.006115085616583559,29.078281,31.8,0.636,0
234.45939860608732,100.0,10.0,0.1,0.05341866317137399,0.0001,4900.2295,5000.0,100.0,10
2000.0,100.0,9.90782368929372,0.03959916355415433,0.1,0.01,39.16958,42.9,0.858,0
507.099109220719,100.0,10.0,0.1,0.1,0.0001,89.87883,97.9,1.9580000000000002,0
100.0,198.19532171695133,7.759293745942181,0.1,0.1,0.008017324245664124,4937.7637,5000.0,100.0,10
456.855813932156,218.7407177661388,3.0386862250637776,0.001,0.0,0.008061332065990984,34.94815,38.0,0.76,0
197.01120058714588,100.0,10.0,0.0690468295515888,0.08094364809697206,0.0014509078443444862,4914.958,5000.0,100.0,10
100.0,100.0,3.531362263446944,0.1,0.007119980413238879,0.0001,4840.2695,5000.0,100.0,10
100.0,1700.0,2.0,0.025913325200402244,0.0,0.009308017593798887,17.957214,19.3,0.386,0
165.85356507519833,274.1087654417585,8.392123185898107,0.1,0.011743130362852516,0.0001,4565.8745,4650.1,93.00200000000001,8
100.0,1700.0,6.398017196074974,0.0646086946758912,0.0,0.0001,37.75985,40.0,0.8,0
1093.6696998429752,100.0,10.0,0.001,0.1,0.00503947719024565,46.789555,51.2,1.024,0
100.0,100.0,5.014091629070063,0.1,0.044021265551561176,0.009930911512600978,4910.288,5000.0,100.0,10
2000.0,348.8016674616663,8.09774746868586,0.001,0.1,0.0001,37.201534,40.5,0.81,0
2000.0,100.0,9.701201542999085,0.05321459636941022,0.0,0.009279062346447015,36.30565,39.8,0.7959999999999999,0
1144.3821850385923,1653.0786483392521,8.849776971393542,0.1,0.0939565591077044,0.01,29.169516,31.7,0.634,0
1991.2219206664267,899.8216641292221,9.835491535779408,0.0936392432083607,0.1,0.006667561341150756,31.335018,34.2,0.684,0
499.9796873458123,100.0,8.836626996079811,0.1,0.0,0.005990906394080405,89.15627,97.3,1.946,0
1413.2318644253633,150.3256161332137,10.0,0.09208173484999435,0.0,0.0001,40.427433,44.2,0.8840000000000001,0
1704.3184750475966,992.5740048783906,8.088334544011808,0.1,0.0,0.0001,32.000286,34.7,0.6940000000000001,0
100.0,100.0,6.686647110552476,0.010714773800852152,0.07428956425068697,0.008751573871422683,4933.1807,5000.0,100.0,10
100.0,100.0,10.0,0.1,0.1,0.006187616342489866,4943.478,5000.0,100.0,10
2000.0,100.0,10.0,0.060287050311811495,0.1,0.00939448669608194,33.9601,36.9,0.738,0
